Post #,Sentiment
post1,Neutral Sentiment
post2,Negative Sentiment
post3,Negative Sentiment
post4,Neutral Sentiment
post5,Neutral Sentiment
post6,Positive Sentiment
post7,Positive Sentiment
post8,Neutral Sentiment
post9,Neutral Sentiment
post10,Neutral Sentiment
post11,Negative Sentiment
post12,Positive Sentiment
post13,Neutral Sentiment
post14,Positive Sentiment
post15,Positive Sentiment
post16,Neutral Sentiment
post17,Positive Sentiment
post18,Neutral Sentiment
post19,Neutral Sentiment
post20,Neutral Sentiment
post21,Neutral Sentiment
post22,Positive Sentiment
post23,Positive Sentiment
post24,Neutral Sentiment
post25,Neutral Sentiment
post26,Neutral Sentiment
post27,Negative Sentiment
post28,Neutral Sentiment
post29,Neutral Sentiment
post30,Positive Sentiment
post31,Positive Sentiment
post32,Neutral Sentiment
post33,Neutral Sentiment
post34,Positive Sentiment
post35,Neutral Sentiment
post36,Positive Sentiment
post37,Positive Sentiment
post38,Positive Sentiment
post39,Positive Sentiment
post40,Neutral Sentiment
post41,Neutral Sentiment
post42,Positive Sentiment
post43,Neutral Sentiment
post44,Negative Sentiment
post45,Positive Sentiment
post46,Negative Sentiment
post47,Positive Sentiment
post48,Positive Sentiment
post49,Positive Sentiment
post50,Neutral Sentiment
post51,Positive Sentiment
post52,Positive Sentiment
post53,Positive Sentiment
post54,Positive Sentiment
post55,Neutral Sentiment
post56,Negative Sentiment
post57,Neutral Sentiment
post58,Negative Sentiment
post59,Negative Sentiment
post60,Positive Sentiment
post61,Positive Sentiment
post62,Neutral Sentiment
post63,Positive Sentiment
post64,Positive Sentiment
post65,Positive Sentiment
post66,Positive Sentiment
post67,Negative Sentiment
post68,Positive Sentiment
post69,Positive Sentiment
post70,Neutral Sentiment
post71,Negative Sentiment
post72,Negative Sentiment
post73,Neutral Sentiment
post74,Positive Sentiment
post75,Neutral Sentiment
post76,Positive Sentiment
post77,Positive Sentiment
post78,Neutral Sentiment
post79,Negative Sentiment
post80,Neutral Sentiment
post81,Neutral Sentiment
post82,Neutral Sentiment
post83,Neutral Sentiment
post84,Positive Sentiment
post85,Neutral Sentiment
post86,Negative Sentiment
post87,Positive Sentiment
post88,Positive Sentiment
post89,Neutral Sentiment
post90,Neutral Sentiment
post91,Neutral Sentiment
post92,Neutral Sentiment
post93,Negative Sentiment
post94,Positive Sentiment
post95,Negative Sentiment
post96,Positive Sentiment
post97,Neutral Sentiment
post98,Negative Sentiment
post99,Negative Sentiment
post100,Neutral Sentiment
post101,Negative Sentiment
post102,Neutral Sentiment
