Thread ID,URL line
1,"host=ap20-pgs-425.
"
2,"Port = 2222
"
3,"nice find ! thanks <@Valeri> :taco:
"
4,"""Hi, <@Ouida>! Didn't notice your reply. What seemed weird to me was the difference between what <@Valeri> posted for 3.7.0 and my example from 3.7.1. I wasn't expecting that difference between patch versions""
"
5,"Thanks will read! have a :taco: <@Raven>
"
6,"""I remember someone here linked to a community driven site that links you up with code mentors, for free. Seems I lost that link when my last laptop died. Anyone know the site?""
"
7,"""I am writing a script to click previous, next of datepicker but this code only click back 3 months from January 2019, December 2018, November 2018, October 2018 and loop in October 2018 and cannot click next. Could you help me?; Here is my code; ``` def get_conversion_rate_rp_data(driver,month,year):
"
8,"ok
"
9,"*/2 * * * * python /home/ubuntu/CronNeedOpen.py  this file location every 2 min it hits the CronNeedOpen.py  suppose in that particular file some sytax errors are there how to know that file have error where it stores
"
10,"<https://docs.mongodb.com/manual/reference/method/Date/>
"
11,":thumbsup: never used mongo ¯\_(ツ)_/¯
"
12,"Thanks <@Rocio> <@Maricruz> <@Valeri>  :heavy_check_mark:  solved
"
13,"""hloo everyone
"
14,"""<@Shanon> typically, you're going to use polymorphism for that; so that you either get an `S3Folder` instance or a `LocalFolder` instance, both have a `.delete()` method, and it's easy to manage in every class""
"
15,"                SLACK_WEBHOOK,
"
16,"<@Kiera> thanks but no thanks :slightly_smiling_face:; that DO link looks good ^
"
17,"testapp.configure({'padx':10})
"
18,"""<@Hai> in general:  JSON = JavaScript Object Notation.  It uses JavaScript syntax to describe an """"object"""" (which is represented in Python as a dictionary).  Objects contain keys which are strings (and only strings) mapped to values which may be numbers, strings, objects, or arrays of numbers, strings, objects, or arrays.; in order to produce valid JSON, you need to produce a dictionary which has string keys and values of the appropriate types described above, and feed that dictionary to `json.dumps`.""
"
19,"response = requests.get(url)
"
20,"""I am able to create SQLAlchemy models for existing database tables and then create an initial migration (the create and drop table script) with Alembic - is there an easy way to autogenerate the models if I do not have a database table with an existing schema?; for example, reading a file with pandas; or reading a directory of different files and creating a models.py file which I can then go into and edit, add primary keys, schemas, etc""
"
21,"
"
22,"
"
23,"    # We rethrow the exception by default.
"
24,"no working; i had been trying that work it; I had been trying to make it work
"
25,"The above json feed gets updating everyday
"
26,"The above json feed gets updating everyday
"
27,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
28,"<https://www.w3schools.com/python/python_for_loops.asp>
"
29,"""Alowa, anybody out here who can help me for 5 mins in a private chat window with beautifulsoup and some list problems. Spent an awful lot of team reading in the big O-reilly book, stackoverflow and what not but cannot seem  to grasp the concept (clean up data from nested list and writing it to a file)""
"
30,"""Hey! 
"
